"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","new.ident","integrated_snn_res.0.8","seurat_clusters"
"cell_2489_7","cell",786,595,0.127226463104326,"t7","2","2"
"cell_2490_7","cell",786,640,0.636132315521628,"t7","2","2"
"cell_2491_7","cell",787,610,0.254129606099111,"t7","2","2"
"cell_2492_7","cell",785,645,0.127388535031847,"t7","7","7"
"cell_2493_7","cell",786,628,1.65394402035623,"t7","2","2"
"cell_2494_7","cell",784,571,0.38265306122449,"t7","6","6"
"cell_2495_7","cell",784,619,0.255102040816327,"t7","2","2"
"cell_2496_7","cell",785,619,0.382165605095541,"t7","2","2"
"cell_2497_7","cell",783,550,0,"t7","6","6"
"cell_2498_7","cell",780,621,0,"t7","3","3"
"cell_2499_7","cell",781,566,0.384122919334187,"t7","6","6"
"cell_2500_7","cell",782,607,0.255754475703325,"t7","0","0"
"cell_2501_7","cell",780,596,0.128205128205128,"t7","0","0"
"cell_2502_7","cell",783,597,0.510855683269476,"t7","5","5"
"cell_2503_7","cell",783,609,0.255427841634738,"t7","4","4"
"cell_2504_7","cell",781,598,0.128040973111396,"t7","2","2"
"cell_2505_7","cell",783,573,0,"t7","6","6"
"cell_2506_7","cell",782,573,0,"t7","10","10"
"cell_2507_7","cell",782,597,0.51150895140665,"t7","1","1"
"cell_2508_7","cell",777,610,0.386100386100386,"t7","1","1"
"cell_2509_7","cell",781,622,0.128040973111396,"t7","0","0"
"cell_2510_7","cell",775,578,0,"t7","6","6"
"cell_2511_7","cell",778,589,0.12853470437018,"t7","0","0"
"cell_2512_7","cell",779,617,0.898587933247754,"t7","1","1"
"cell_2513_7","cell",779,639,0.385109114249037,"t7","3","3"
"cell_2514_7","cell",779,601,0.385109114249037,"t7","5","5"
"cell_2515_7","cell",779,613,0.385109114249037,"t7","3","3"
"cell_2516_7","cell",780,591,0.128205128205128,"t7","0","0"
"cell_2517_7","cell",779,613,0.128369704749679,"t7","4","4"
"cell_2518_7","cell",778,593,0.89974293059126,"t7","4","4"
"cell_2519_7","cell",776,607,0.128865979381443,"t7","0","0"
"cell_2520_7","cell",773,610,0.258732212160414,"t7","3","3"
"cell_2521_7","cell",775,636,0.645161290322581,"t7","2","2"
"cell_2522_7","cell",776,600,0,"t7","3","3"
"cell_2523_7","cell",772,628,0.647668393782383,"t7","3","3"
"cell_2524_7","cell",770,624,0,"t7","8","8"
"cell_2525_7","cell",774,613,0.516795865633075,"t7","7","7"
"cell_2526_7","cell",774,560,0.258397932816538,"t7","6","6"
"cell_2527_7","cell",774,586,0.129198966408269,"t7","6","6"
"cell_2528_7","cell",774,615,0.129198966408269,"t7","1","1"
"cell_2529_7","cell",773,612,0.129366106080207,"t7","2","2"
"cell_2530_7","cell",774,576,0.129198966408269,"t7","8","8"
"cell_2531_7","cell",772,541,0,"t7","0","0"
"cell_2532_7","cell",772,618,0.259067357512953,"t7","1","1"
"cell_2533_7","cell",771,524,0.12970168612192,"t7","6","6"
"cell_2534_7","cell",770,585,0.25974025974026,"t7","3","3"
"cell_2535_7","cell",765,600,0.130718954248366,"t7","0","0"
"cell_2536_7","cell",771,642,0.259403372243839,"t7","1","1"
"cell_2537_7","cell",771,570,0.518806744487678,"t7","6","6"
"cell_2538_7","cell",770,616,0.38961038961039,"t7","13","13"
"cell_2539_7","cell",771,634,0,"t7","8","8"
"cell_2540_7","cell",766,631,0.261096605744125,"t7","0","0"
"cell_2541_7","cell",771,606,0.259403372243839,"t7","0","0"
"cell_2542_7","cell",767,565,1.17340286831812,"t7","6","6"
"cell_2543_7","cell",769,608,0,"t7","7","7"
"cell_2544_7","cell",769,604,0,"t7","9","9"
"cell_2545_7","cell",769,589,0.520156046814044,"t7","6","6"
"cell_2546_7","cell",762,596,0.656167979002625,"t7","0","0"
"cell_2547_7","cell",769,614,0.390117035110533,"t7","0","0"
"cell_2548_7","cell",769,535,0.260078023407022,"t7","4","4"
"cell_2549_7","cell",766,566,0,"t7","6","6"
"cell_2550_7","cell",769,602,0.260078023407022,"t7","2","2"
"cell_2551_7","cell",767,603,0.130378096479791,"t7","1","1"
"cell_2552_7","cell",766,586,2.21932114882507,"t7","13","13"
"cell_2553_7","cell",767,597,0.130378096479791,"t7","3","3"
"cell_2554_7","cell",766,589,0.522193211488251,"t7","7","7"
"cell_2555_7","cell",767,587,0.651890482398957,"t7","3","3"
"cell_2556_7","cell",768,552,0.260416666666667,"t7","0","0"
"cell_2557_7","cell",765,561,0.130718954248366,"t7","1","1"
"cell_2558_7","cell",767,568,0.391134289439374,"t7","6","6"
"cell_2559_7","cell",766,592,0,"t7","2","2"
"cell_2560_7","cell",765,548,0.784313725490196,"t7","6","6"
"cell_2561_7","cell",763,574,0,"t7","6","6"
"cell_2562_7","cell",765,546,0.261437908496732,"t7","6","6"
"cell_2563_7","cell",762,561,0.131233595800525,"t7","0","0"
"cell_2564_7","cell",762,609,0.26246719160105,"t7","1","1"
"cell_2565_7","cell",764,589,0.523560209424084,"t7","4","4"
"cell_2566_7","cell",763,757,0.131061598951507,"t7","3","3"
"cell_2567_7","cell",762,597,0.131233595800525,"t7","0","0"
"cell_2568_7","cell",762,522,0.393700787401575,"t7","6","6"
"cell_2569_7","cell",761,524,0.131406044678055,"t7","15","15"
"cell_2570_7","cell",762,591,0.26246719160105,"t7","0","0"
"cell_2571_7","cell",762,626,0,"t7","0","0"
"cell_2572_7","cell",760,605,0.131578947368421,"t7","4","4"
"cell_2573_7","cell",760,553,0.394736842105263,"t7","0","0"
"cell_2574_7","cell",759,552,0.131752305665349,"t7","6","6"
"cell_2575_7","cell",760,582,0.131578947368421,"t7","6","6"
"cell_2576_7","cell",761,596,0,"t7","0","0"
"cell_2577_7","cell",760,595,0.131578947368421,"t7","7","7"
"cell_2578_7","cell",761,611,1.31406044678055,"t7","2","2"
"cell_2579_7","cell",759,611,0,"t7","4","4"
"cell_2580_7","cell",758,750,0.395778364116095,"t7","7","7"
"cell_2581_7","cell",758,591,0,"t7","7","7"
"cell_2582_7","cell",759,556,0.131752305665349,"t7","4","4"
"cell_2583_7","cell",756,545,0.793650793650794,"t7","4","4"
"cell_2584_7","cell",757,593,2.11360634081902,"t7","5","5"
"cell_2585_7","cell",756,568,0.396825396825397,"t7","0","0"
"cell_2586_7","cell",759,601,0.263504611330698,"t7","3","3"
"cell_2587_7","cell",757,608,0.264200792602378,"t7","1","1"
"cell_2588_7","cell",756,603,0.264550264550265,"t7","0","0"
"cell_2589_7","cell",758,594,0.395778364116095,"t7","1","1"
"cell_2590_7","cell",756,601,0.264550264550265,"t7","0","0"
"cell_2591_7","cell",756,581,0.264550264550265,"t7","2","2"
"cell_2592_7","cell",756,620,2.51322751322751,"t7","5","5"
"cell_2593_7","cell",753,506,0,"t7","6","6"
"cell_2594_7","cell",756,577,0,"t7","8","8"
"cell_2595_7","cell",753,585,0.664010624169987,"t7","3","3"
"cell_2596_7","cell",752,541,0,"t7","6","6"
"cell_2597_7","cell",755,589,0.132450331125828,"t7","1","1"
"cell_2598_7","cell",754,660,0.663129973474801,"t7","2","2"
"cell_2599_7","cell",752,585,0.132978723404255,"t7","9","9"
"cell_2600_7","cell",754,587,0.13262599469496,"t7","6","6"
"cell_2601_7","cell",754,576,0.530503978779841,"t7","1","1"
"cell_2602_7","cell",749,605,0.267022696929239,"t7","0","0"
"cell_2603_7","cell",754,594,0.13262599469496,"t7","0","0"
"cell_2604_7","cell",753,567,0,"t7","0","0"
"cell_2605_7","cell",752,609,0,"t7","3","3"
"cell_2606_7","cell",753,598,0.132802124833997,"t7","7","7"
"cell_2607_7","cell",748,614,0,"t7","0","0"
"cell_2608_7","cell",750,557,0.266666666666667,"t7","4","4"
"cell_2609_7","cell",752,554,0.265957446808511,"t7","2","2"
"cell_2610_7","cell",753,523,0,"t7","8","8"
"cell_2611_7","cell",748,583,0.668449197860963,"t7","4","4"
"cell_2612_7","cell",752,572,0.664893617021277,"t7","1","1"
"cell_2613_7","cell",750,589,0.133333333333333,"t7","1","1"
"cell_2614_7","cell",751,584,0.133155792276964,"t7","0","0"
"cell_2615_7","cell",749,747,0.534045393858478,"t7","7","7"
"cell_2616_7","cell",749,570,0.267022696929239,"t7","6","6"
"cell_2617_7","cell",749,597,0.133511348464619,"t7","1","1"
"cell_2618_7","cell",749,606,0.267022696929239,"t7","7","7"
"cell_2619_7","cell",748,578,0.133689839572192,"t7","2","2"
"cell_2620_7","cell",746,522,0.134048257372654,"t7","6","6"
"cell_2621_7","cell",745,577,0,"t7","0","0"
"cell_2622_7","cell",748,554,0.133689839572192,"t7","4","4"
"cell_2623_7","cell",744,589,0.134408602150538,"t7","1","1"
"cell_2624_7","cell",748,555,0.133689839572192,"t7","6","6"
"cell_2625_7","cell",748,584,0.133689839572192,"t7","1","1"
"cell_2626_7","cell",747,529,0.267737617135207,"t7","6","6"
"cell_2627_7","cell",748,584,0.133689839572192,"t7","1","1"
"cell_2628_7","cell",744,537,0.268817204301075,"t7","6","6"
"cell_2629_7","cell",744,563,0.537634408602151,"t7","0","0"
"cell_2630_7","cell",745,592,0.671140939597315,"t7","1","1"
"cell_2631_7","cell",745,562,1.87919463087248,"t7","1","1"
"cell_2632_7","cell",744,576,0.268817204301075,"t7","0","0"
"cell_2633_7","cell",743,594,0,"t7","2","2"
"cell_2634_7","cell",743,615,0.53835800807537,"t7","8","8"
"cell_2635_7","cell",744,571,0.268817204301075,"t7","0","0"
"cell_2636_7","cell",743,568,0,"t7","6","6"
"cell_2637_7","cell",742,550,0.134770889487871,"t7","6","6"
"cell_2638_7","cell",744,608,0.134408602150538,"t7","0","0"
"cell_2639_7","cell",744,588,0.537634408602151,"t7","5","5"
"cell_2640_7","cell",743,735,0.53835800807537,"t7","1","1"
"cell_2641_7","cell",744,532,0.806451612903226,"t7","6","6"
"cell_2642_7","cell",742,584,0.269541778975741,"t7","0","0"
"cell_2643_7","cell",742,587,0.539083557951483,"t7","0","0"
"cell_2644_7","cell",741,543,0.269905533063428,"t7","2","2"
"cell_2645_7","cell",743,526,0,"t7","6","6"
"cell_2646_7","cell",742,585,0.404312668463612,"t7","2","2"
"cell_2647_7","cell",742,583,0.808625336927224,"t7","2","2"
"cell_2648_7","cell",738,586,0,"t7","7","7"
"cell_2649_7","cell",742,554,0,"t7","6","6"
"cell_2650_7","cell",739,579,0.27063599458728,"t7","1","1"
"cell_2651_7","cell",739,605,2.84167794316644,"t7","3","3"
"cell_2652_7","cell",740,552,0.135135135135135,"t7","6","6"
"cell_2653_7","cell",741,547,0.539811066126856,"t7","7","7"
"cell_2654_7","cell",739,584,1.75913396481732,"t7","1","1"
"cell_2655_7","cell",739,629,0.54127198917456,"t7","1","1"
"cell_2656_7","cell",739,563,0.81190798376184,"t7","2","2"
"cell_2657_7","cell",735,587,0.272108843537415,"t7","0","0"
"cell_2658_7","cell",739,470,0,"t7","6","6"
"cell_2659_7","cell",738,640,0.5420054200542,"t7","5","5"
"cell_2660_7","cell",738,553,0.40650406504065,"t7","0","0"
"cell_2661_7","cell",738,547,0.13550135501355,"t7","6","6"
"cell_2662_7","cell",738,548,0.13550135501355,"t7","4","4"
"cell_2663_7","cell",735,572,0.136054421768707,"t7","0","0"
"cell_2664_7","cell",738,568,0.5420054200542,"t7","3","3"
"cell_2665_7","cell",736,582,1.76630434782609,"t7","5","5"
"cell_2666_7","cell",737,561,0.407055630936228,"t7","0","0"
"cell_2667_7","cell",733,572,0.136425648021828,"t7","13","13"
"cell_2668_7","cell",737,585,0.542740841248304,"t7","1","1"
"cell_2669_7","cell",737,537,0,"t7","6","6"
"cell_2670_7","cell",737,592,0.135685210312076,"t7","0","0"
"cell_2671_7","cell",734,613,0.272479564032698,"t7","13","13"
"cell_2672_7","cell",736,583,0,"t7","0","0"
"cell_2673_7","cell",735,579,0,"t7","2","2"
"cell_2674_7","cell",733,545,0.954979536152797,"t7","1","1"
"cell_2675_7","cell",734,536,1.08991825613079,"t7","0","0"
"cell_2676_7","cell",733,605,0.682128240109141,"t7","3","3"
"cell_2677_7","cell",730,598,0,"t7","4","4"
"cell_2678_7","cell",729,566,0,"t7","0","0"
"cell_2679_7","cell",731,559,0.683994528043776,"t7","4","4"
"cell_2680_7","cell",734,570,0,"t7","1","1"
"cell_2681_7","cell",731,576,0.27359781121751,"t7","10","10"
"cell_2682_7","cell",729,557,0.411522633744856,"t7","3","3"
"cell_2683_7","cell",731,596,0.27359781121751,"t7","8","8"
"cell_2684_7","cell",733,567,0.136425648021828,"t7","2","2"
"cell_2685_7","cell",733,538,0.272851296043656,"t7","0","0"
"cell_2686_7","cell",729,578,1.09739368998628,"t7","2","2"
"cell_2687_7","cell",732,570,0.546448087431694,"t7","1","1"
"cell_2688_7","cell",732,536,0.273224043715847,"t7","2","2"
"cell_2689_7","cell",731,599,0.547195622435021,"t7","1","1"
"cell_2690_7","cell",729,592,0.274348422496571,"t7","1","1"
"cell_2691_7","cell",727,583,0.275103163686382,"t7","3","3"
"cell_2692_7","cell",729,518,0,"t7","4","4"
"cell_2693_7","cell",727,549,0.275103163686382,"t7","6","6"
"cell_2694_7","cell",729,541,0,"t7","6","6"
"cell_2695_7","cell",729,560,0.411522633744856,"t7","1","1"
"cell_2696_7","cell",727,550,0.137551581843191,"t7","2","2"
"cell_2697_7","cell",729,540,0.274348422496571,"t7","0","0"
"cell_2698_7","cell",729,540,0.137174211248285,"t7","6","6"
"cell_2699_7","cell",728,579,0.549450549450549,"t7","0","0"
"cell_2700_7","cell",728,582,0.137362637362637,"t7","2","2"
"cell_2701_7","cell",727,722,0.412654745529574,"t7","7","7"
"cell_2702_7","cell",727,582,0.687757909215956,"t7","2","2"
"cell_2703_7","cell",729,569,0.274348422496571,"t7","0","0"
"cell_2704_7","cell",728,588,0.412087912087912,"t7","0","0"
"cell_2705_7","cell",727,607,0.550206327372765,"t7","0","0"
"cell_2706_7","cell",723,542,1.93637621023513,"t7","6","6"
"cell_2707_7","cell",724,592,0.138121546961326,"t7","9","9"
"cell_2708_7","cell",724,573,0.138121546961326,"t7","0","0"
"cell_2709_7","cell",724,522,0.138121546961326,"t7","6","6"
"cell_2710_7","cell",724,594,0.414364640883978,"t7","0","0"
"cell_2711_7","cell",724,590,0,"t7","0","0"
"cell_2712_7","cell",722,549,0.277008310249307,"t7","1","1"
"cell_2713_7","cell",723,580,0.276625172890733,"t7","4","4"
"cell_2714_7","cell",723,576,0.276625172890733,"t7","5","5"
"cell_2715_7","cell",723,622,2.4896265560166,"t7","2","2"
"cell_2716_7","cell",723,533,0.138312586445367,"t7","1","1"
"cell_2717_7","cell",724,498,0,"t7","1","1"
"cell_2718_7","cell",723,611,0.691562932226833,"t7","5","5"
"cell_2719_7","cell",722,555,0.277008310249307,"t7","1","1"
"cell_2720_7","cell",721,575,0.832177531206657,"t7","9","9"
"cell_2721_7","cell",722,591,0.277008310249307,"t7","1","1"
"cell_2722_7","cell",722,600,0.138504155124654,"t7","3","3"
"cell_2723_7","cell",718,523,1.39275766016713,"t7","6","6"
"cell_2724_7","cell",722,530,1.10803324099723,"t7","4","4"
"cell_2725_7","cell",721,581,0.13869625520111,"t7","2","2"
"cell_2726_7","cell",721,517,0.693481276005548,"t7","6","6"
"cell_2727_7","cell",721,492,0.693481276005548,"t7","6","6"
"cell_2728_7","cell",720,518,0,"t7","6","6"
"cell_2729_7","cell",722,519,0.138504155124654,"t7","6","6"
"cell_2730_7","cell",720,583,0.277777777777778,"t7","0","0"
"cell_2731_7","cell",720,471,0.277777777777778,"t7","0","0"
"cell_2732_7","cell",718,608,0.139275766016713,"t7","3","3"
"cell_2733_7","cell",719,534,0.139082058414465,"t7","0","0"
"cell_2734_7","cell",718,565,0.417827298050139,"t7","2","2"
"cell_2735_7","cell",719,527,0.417246175243394,"t7","0","0"
"cell_2736_7","cell",718,570,0,"t7","0","0"
"cell_2737_7","cell",717,511,0.139470013947001,"t7","1","1"
"cell_2738_7","cell",718,565,0.417827298050139,"t7","0","0"
"cell_2739_7","cell",717,536,0.697350069735007,"t7","1","1"
"cell_2740_7","cell",718,711,0,"t7","3","3"
"cell_2741_7","cell",716,565,0.139664804469274,"t7","6","6"
"cell_2742_7","cell",718,579,0,"t7","2","2"
"cell_2743_7","cell",716,534,0.418994413407821,"t7","4","4"
"cell_2744_7","cell",716,593,0.139664804469274,"t7","2","2"
"cell_2745_7","cell",715,527,0,"t7","6","6"
"cell_2746_7","cell",716,505,0.418994413407821,"t7","2","2"
"cell_2747_7","cell",715,539,0.559440559440559,"t7","0","0"
"cell_2748_7","cell",716,484,0.139664804469274,"t7","6","6"
"cell_2749_7","cell",717,581,0.139470013947001,"t7","7","7"
"cell_2750_7","cell",716,537,0.139664804469274,"t7","0","0"
"cell_2751_7","cell",717,575,0.278940027894003,"t7","0","0"
"cell_2752_7","cell",714,513,0.700280112044818,"t7","6","6"
"cell_2753_7","cell",717,572,0,"t7","0","0"
"cell_2754_7","cell",716,513,0.279329608938547,"t7","3","3"
"cell_2755_7","cell",716,566,0.139664804469274,"t7","1","1"
"cell_2756_7","cell",715,512,0,"t7","1","1"
"cell_2757_7","cell",715,547,0.27972027972028,"t7","0","0"
"cell_2758_7","cell",713,532,0.140252454417952,"t7","4","4"
"cell_2759_7","cell",714,593,0.420168067226891,"t7","10","10"
"cell_2760_7","cell",714,556,0,"t7","2","2"
"cell_2761_7","cell",715,508,1.3986013986014,"t7","5","5"
"cell_2762_7","cell",714,503,0.980392156862745,"t7","1","1"
"cell_2763_7","cell",712,520,0.280898876404494,"t7","6","6"
"cell_2764_7","cell",715,511,0.27972027972028,"t7","2","2"
"cell_2765_7","cell",713,514,0.701262272089762,"t7","3","3"
"cell_2766_7","cell",714,591,0,"t7","7","7"
"cell_2767_7","cell",713,552,0.701262272089762,"t7","6","6"
"cell_2768_7","cell",712,528,0.140449438202247,"t7","0","0"
"cell_2769_7","cell",712,552,0.280898876404494,"t7","0","0"
"cell_2770_7","cell",713,549,0,"t7","0","0"
"cell_2771_7","cell",711,555,0.140646976090014,"t7","0","0"
"cell_2772_7","cell",708,524,0,"t7","4","4"
"cell_2773_7","cell",713,535,0,"t7","1","1"
"cell_2774_7","cell",710,510,0,"t7","4","4"
"cell_2775_7","cell",710,578,0,"t7","2","2"
"cell_2776_7","cell",712,582,0.140449438202247,"t7","8","8"
"cell_2777_7","cell",710,512,0.140845070422535,"t7","6","6"
"cell_2778_7","cell",710,555,0,"t7","8","8"
"cell_2779_7","cell",710,514,0,"t7","4","4"
"cell_2780_7","cell",710,593,0.140845070422535,"t7","3","3"
"cell_2781_7","cell",710,507,0,"t7","6","6"
"cell_2782_7","cell",708,526,0.282485875706215,"t7","0","0"
"cell_2783_7","cell",709,515,0.423131170662906,"t7","3","3"
"cell_2784_7","cell",707,510,0.282885431400283,"t7","2","2"
"cell_2785_7","cell",706,559,0.141643059490085,"t7","6","6"
"cell_2786_7","cell",707,484,0.141442715700141,"t7","4","4"
"cell_2787_7","cell",705,573,0.283687943262411,"t7","8","8"
"cell_2788_7","cell",706,570,0.708215297450425,"t7","3","3"
"cell_2789_7","cell",707,592,0.282885431400283,"t7","0","0"
"cell_2790_7","cell",704,503,0.852272727272727,"t7","6","6"
"cell_2791_7","cell",704,544,0.568181818181818,"t7","1","1"
"cell_2792_7","cell",707,609,0.141442715700141,"t7","0","0"
"cell_2793_7","cell",705,560,0,"t7","0","0"
"cell_2794_7","cell",705,554,0.567375886524823,"t7","10","10"
"cell_2795_7","cell",705,695,0.283687943262411,"t7","13","13"
"cell_2796_7","cell",706,562,1.41643059490085,"t7","1","1"
"cell_2797_7","cell",705,561,0.141843971631206,"t7","3","3"
"cell_2798_7","cell",705,558,0.141843971631206,"t7","0","0"
"cell_2799_7","cell",705,558,0.141843971631206,"t7","2","2"
"cell_2800_7","cell",703,562,0.42674253200569,"t7","10","10"
"cell_2801_7","cell",702,553,0.712250712250712,"t7","1","1"
"cell_2802_7","cell",702,560,0.712250712250712,"t7","11","11"
"cell_2803_7","cell",702,530,0.427350427350427,"t7","9","9"
"cell_2804_7","cell",702,568,0.142450142450142,"t7","0","0"
"cell_2805_7","cell",702,544,0.712250712250712,"t7","1","1"
"cell_2806_7","cell",702,557,0.284900284900285,"t7","0","0"
"cell_2807_7","cell",700,529,0,"t7","6","6"
"cell_2808_7","cell",703,575,0.568990042674253,"t7","2","2"
"cell_2809_7","cell",701,539,1.28388017118402,"t7","6","6"
"cell_2810_7","cell",698,537,0.573065902578797,"t7","6","6"
"cell_2811_7","cell",698,573,0.286532951289398,"t7","2","2"
"cell_2812_7","cell",699,535,0.572246065808298,"t7","2","2"
"cell_2813_7","cell",698,570,0.143266475644699,"t7","2","2"
"cell_2814_7","cell",700,558,0.142857142857143,"t7","1","1"
"cell_2815_7","cell",699,565,0.143061516452074,"t7","4","4"
"cell_2816_7","cell",698,562,0.286532951289398,"t7","0","0"
"cell_2817_7","cell",698,543,0.143266475644699,"t7","1","1"
"cell_2818_7","cell",697,549,0.286944045911047,"t7","7","7"
"cell_2819_7","cell",699,558,0.143061516452074,"t7","2","2"
"cell_2820_7","cell",698,535,0.573065902578797,"t7","10","10"
"cell_2821_7","cell",699,580,1.00143061516452,"t7","5","5"
"cell_2822_7","cell",699,554,0.715307582260372,"t7","7","7"
"cell_2823_7","cell",695,573,0.431654676258993,"t7","1","1"
"cell_2824_7","cell",698,529,0,"t7","0","0"
"cell_2825_7","cell",695,536,0.287769784172662,"t7","0","0"
"cell_2826_7","cell",697,554,0.286944045911047,"t7","0","0"
"cell_2827_7","cell",694,584,0,"t7","3","3"
"cell_2828_7","cell",696,562,0.28735632183908,"t7","5","5"
"cell_2829_7","cell",696,559,0.431034482758621,"t7","5","5"
"cell_2830_7","cell",695,520,0,"t7","6","6"
"cell_2831_7","cell",694,547,0,"t7","4","4"
"cell_2832_7","cell",695,541,0.575539568345324,"t7","1","1"
"cell_2833_7","cell",693,531,0,"t7","0","0"
"cell_2834_7","cell",695,557,0.143884892086331,"t7","3","3"
"cell_2835_7","cell",694,536,0.144092219020173,"t7","0","0"
"cell_2836_7","cell",694,576,0.864553314121038,"t7","0","0"
"cell_2837_7","cell",692,559,0,"t7","8","8"
"cell_2838_7","cell",690,554,0,"t7","0","0"
"cell_2839_7","cell",691,550,0.289435600578871,"t7","9","9"
"cell_2840_7","cell",693,555,0.432900432900433,"t7","1","1"
"cell_2841_7","cell",693,478,0.144300144300144,"t7","6","6"
"cell_2842_7","cell",691,555,0.578871201157742,"t7","1","1"
"cell_2843_7","cell",692,517,0,"t7","2","2"
"cell_2844_7","cell",688,578,0.145348837209302,"t7","1","1"
"cell_2845_7","cell",690,504,0.144927536231884,"t7","4","4"
"cell_2846_7","cell",690,506,0.289855072463768,"t7","6","6"
"cell_2847_7","cell",690,512,0.289855072463768,"t7","6","6"
"cell_2848_7","cell",690,501,0,"t7","6","6"
"cell_2849_7","cell",690,520,0.289855072463768,"t7","1","1"
"cell_2850_7","cell",687,509,0.436681222707424,"t7","1","1"
"cell_2851_7","cell",688,557,1.01744186046512,"t7","5","5"
"cell_2852_7","cell",688,505,0.581395348837209,"t7","0","0"
"cell_2853_7","cell",688,495,0.290697674418605,"t7","6","6"
"cell_2854_7","cell",688,490,0.290697674418605,"t7","6","6"
"cell_2855_7","cell",688,585,0,"t7","13","13"
"cell_2856_7","cell",688,530,0,"t7","0","0"
"cell_2857_7","cell",689,508,0.58055152394775,"t7","5","5"
"cell_2858_7","cell",688,489,0.581395348837209,"t7","6","6"
"cell_2859_7","cell",687,571,0,"t7","7","7"
"cell_2860_7","cell",685,545,0,"t7","10","10"
"cell_2861_7","cell",687,575,0.727802037845706,"t7","0","0"
"cell_2862_7","cell",688,496,0.145348837209302,"t7","6","6"
"cell_2863_7","cell",685,548,0.291970802919708,"t7","4","4"
"cell_2864_7","cell",688,509,0.145348837209302,"t7","2","2"
"cell_2865_7","cell",686,549,0,"t7","3","3"
"cell_2866_7","cell",684,551,0.146198830409357,"t7","1","1"
"cell_2867_7","cell",686,512,0.291545189504373,"t7","0","0"
"cell_2868_7","cell",684,512,1.0233918128655,"t7","4","4"
"cell_2869_7","cell",685,554,0.145985401459854,"t7","0","0"
"cell_2870_7","cell",686,588,0,"t7","7","7"
"cell_2871_7","cell",684,585,0.146198830409357,"t7","7","7"
"cell_2872_7","cell",681,511,0.146842878120411,"t7","6","6"
"cell_2873_7","cell",684,541,0.43859649122807,"t7","3","3"
"cell_2874_7","cell",684,555,0.146198830409357,"t7","0","0"
"cell_2875_7","cell",684,550,0.584795321637427,"t7","3","3"
"cell_2876_7","cell",683,557,0,"t7","0","0"
"cell_2877_7","cell",681,503,0.587371512481645,"t7","3","3"
"cell_2878_7","cell",682,558,0.733137829912023,"t7","1","1"
"cell_2879_7","cell",680,563,0.294117647058824,"t7","1","1"
"cell_2880_7","cell",681,472,0.734214390602056,"t7","6","6"
"cell_2881_7","cell",682,539,0.146627565982405,"t7","5","5"
"cell_2882_7","cell",679,552,0.294550810014728,"t7","1","1"
"cell_2883_7","cell",683,542,0.439238653001464,"t7","4","4"
"cell_2884_7","cell",681,551,1.02790014684288,"t7","1","1"
"cell_2885_7","cell",682,469,0.146627565982405,"t7","6","6"
"cell_2886_7","cell",679,584,0.441826215022091,"t7","2","2"
"cell_2887_7","cell",681,462,0,"t7","6","6"
"cell_2888_7","cell",678,558,0.589970501474926,"t7","4","4"
"cell_2889_7","cell",680,570,0.294117647058824,"t7","2","2"
"cell_2890_7","cell",677,500,1.03397341211226,"t7","6","6"
"cell_2891_7","cell",676,569,0.14792899408284,"t7","1","1"
"cell_2892_7","cell",681,519,0,"t7","0","0"
"cell_2893_7","cell",678,499,0.442477876106195,"t7","6","6"
"cell_2894_7","cell",678,517,0.294985250737463,"t7","6","6"
"cell_2895_7","cell",680,536,0.147058823529412,"t7","4","4"
"cell_2896_7","cell",680,496,0.294117647058824,"t7","2","2"
"cell_2897_7","cell",678,571,0.147492625368732,"t7","3","3"
"cell_2898_7","cell",676,508,0.14792899408284,"t7","6","6"
"cell_2899_7","cell",677,517,0.295420974889217,"t7","0","0"
"cell_2900_7","cell",678,547,0.294985250737463,"t7","0","0"
"cell_2901_7","cell",674,465,0.445103857566766,"t7","6","6"
"cell_2902_7","cell",677,498,0.295420974889217,"t7","6","6"
"cell_2903_7","cell",678,523,0.294985250737463,"t7","2","2"
"cell_2904_7","cell",677,557,0,"t7","2","2"
"cell_2905_7","cell",674,525,0.148367952522255,"t7","0","0"
"cell_2906_7","cell",676,487,0.443786982248521,"t7","6","6"
"cell_2907_7","cell",675,562,0.148148148148148,"t7","2","2"
"cell_2908_7","cell",674,495,1.18694362017804,"t7","2","2"
"cell_2909_7","cell",675,528,0,"t7","6","6"
"cell_2910_7","cell",673,472,0.297176820208024,"t7","6","6"
"cell_2911_7","cell",674,552,0,"t7","8","8"
"cell_2912_7","cell",671,559,0.14903129657228,"t7","2","2"
"cell_2913_7","cell",669,483,0.149476831091181,"t7","6","6"
"cell_2914_7","cell",669,545,2.98953662182362,"t7","8","8"
"cell_2915_7","cell",673,540,0,"t7","0","0"
"cell_2916_7","cell",673,487,0,"t7","6","6"
"cell_2917_7","cell",672,489,0.297619047619048,"t7","0","0"
"cell_2918_7","cell",671,508,0.14903129657228,"t7","6","6"
"cell_2919_7","cell",670,549,0,"t7","2","2"
"cell_2920_7","cell",671,543,0.596125186289121,"t7","5","5"
"cell_2921_7","cell",665,592,2.70676691729323,"t7","5","5"
"cell_2922_7","cell",669,544,0.597907324364723,"t7","0","0"
"cell_2923_7","cell",671,539,0,"t7","0","0"
"cell_2924_7","cell",664,523,0.301204819277108,"t7","6","6"
"cell_2925_7","cell",669,535,0,"t7","4","4"
"cell_2926_7","cell",670,536,1.34328358208955,"t7","2","2"
